Compare,v,s,#,f,o,r,t,i,m,e,u,a,n,d,l,g,b,h,k,y,p,:,_,j,c,w,/,.,[,-,],"=""=""",),",",x,!,(,"""",^,<,?,q,{,},3,+,1,z,2,*,9,;,&,5,4,0,@,>,8,6,`,%,~,$,7,"=""'""", 
u,76,0,0,0,23,62,0,350,11,37,,283,0,21,0,0,0,0,0,26,0,18,0,26,0,91,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
a,227,480,525,13,880,207,65,6381,219,1352,283,,15,525,48,56,999,329,65,233,32,1057,1335,26,0,1247,77,67,219,1153,203,809,1142,762,245,693,551,860,57,45,1270,0,131,142,80,329,252,0,155,105,20,103,71,63,641,146,36,207,14,36,177,33,21,45,22,0,0
n,71,1862,0,2013,286,871,2483,46,452,299,0,15,,507,592,413,61,475,216,395,13,0,0,0,45,391,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,244,1463,0,20,0,279,806,22,382,402,21,525,507,,343,522,181,159,295,240,78,36,24,46,49,897,32,0,0,0,0,0,20,0,24,0,20,15,0,39,0,0,0,0,85,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,30,159,17,156,0,101,290,19,316,202,0,48,592,343,,481,141,143,0,39,105,0,0,0,52,222,152,0,0,115,0,69,17,0,0,18,0,45,311,0,28,0,0,0,0,0,23,41,0,26,0,0,0,0,0,0,0,0,0,0,14,0,12,0,0,0,0
g,0,466,0,91,13,23,521,13,129,95,0,56,413,522,481,,68,43,296,24,74,0,22,0,67,149,0,0,0,41,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,193,344,539,69,663,899,88,818,717,354,0,999,61,181,141,68,,231,72,235,280,782,796,21,76,1257,91,67,219,837,188,796,796,758,180,707,551,796,71,45,796,0,131,142,80,329,266,0,155,119,20,103,71,63,641,146,11,207,14,36,191,33,33,45,22,0,0
h,74,213,0,166,128,395,37,33,147,243,0,329,475,159,143,43,231,,347,13,37,25,15,0,19,628,0,0,0,0,0,0,0,0,0,0,64,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k,82,95,0,274,13,211,12,44,85,132,0,65,216,295,0,296,72,347,,0,29,25,0,0,0,108,0,0,0,0,0,0,22,42,0,0,0,20,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y,14,392,221,0,123,81,84,236,364,711,26,233,395,240,39,24,235,13,0,,61,221,221,26,0,236,77,67,219,221,188,221,221,234,289,221,233,221,57,45,221,0,131,142,80,221,221,0,155,105,20,103,71,63,221,146,11,207,14,36,177,33,21,45,22,0,0
p,0,272,0,36,209,0,77,33,170,32,0,32,13,78,105,74,280,37,29,61,,0,0,0,69,38,18,0,0,0,0,0,18,0,21,0,15,13,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,23,525,0,61,0,0,967,0,0,18,1057,0,36,0,0,782,25,25,221,0,,954,0,0,36,109,67,219,954,216,809,1016,792,265,713,571,893,57,110,974,0,131,142,80,329,252,0,155,105,20,103,71,63,641,146,11,207,14,36,177,33,21,45,22,0,0
_,0,39,525,0,0,0,24,1321,0,13,0,1335,0,24,0,22,796,15,0,221,0,954,,0,24,41,77,67,219,1153,188,809,1127,747,180,693,557,860,57,45,1270,0,131,142,80,329,252,0,155,105,20,103,71,63,641,146,11,207,14,36,177,33,21,45,22,0,0
j,26,0,0,0,0,0,0,26,41,0,26,26,0,46,0,0,21,0,0,26,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
c,0,213,0,29,12,0,76,0,45,31,0,0,45,49,52,67,76,19,0,0,69,0,24,0,,346,0,0,0,22,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
w,222,1536,14,71,146,888,2232,38,595,792,91,1247,391,897,222,149,1257,628,108,236,38,36,41,0,346,,0,19,0,0,0,0,0,31,0,0,40,74,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
/,0,0,94,0,0,0,0,96,11,152,0,77,0,32,152,0,91,0,0,77,18,109,77,0,0,0,,67,77,192,77,146,114,77,77,95,77,122,209,77,105,0,77,77,109,77,100,0,77,103,20,77,71,63,77,77,11,77,14,36,91,33,33,45,22,0,0
.,0,0,81,0,0,0,0,67,0,19,0,67,0,0,0,0,67,0,0,67,0,67,67,0,0,19,67,,67,67,67,67,67,67,67,67,67,86,57,45,86,0,67,67,67,67,67,0,67,67,20,67,67,63,67,67,11,67,14,36,86,33,21,45,22,0,0
[,0,0,219,0,0,0,0,219,0,0,0,219,0,0,0,0,219,0,0,219,0,219,219,0,0,0,77,67,,219,188,219,219,219,180,219,219,264,57,45,219,0,131,142,80,219,219,0,155,105,20,103,71,63,219,146,11,207,14,36,177,33,21,45,22,0,0
-,0,0,542,0,0,0,52,1172,11,115,0,1153,0,0,115,41,837,0,0,221,0,954,1153,0,22,0,192,67,219,,188,878,1144,747,180,711,531,890,172,45,1181,0,131,142,290,344,668,0,491,131,20,103,71,189,809,146,11,207,35,120,191,33,33,45,85,0,0
],0,0,188,0,0,0,0,201,0,0,0,203,0,0,0,0,188,0,0,188,0,216,188,0,0,0,77,67,188,188,,188,230,233,180,188,188,233,57,45,188,0,131,142,80,188,188,0,155,105,20,103,71,63,188,146,11,188,14,36,177,33,21,45,22,0,0
"=""=""",0,0,542,0,0,0,0,828,11,69,0,809,0,0,69,0,796,0,0,221,0,809,809,0,0,0,146,67,219,878,188,,839,747,180,724,531,867,126,45,837,0,131,142,80,356,291,0,155,131,20,103,71,63,641,146,11,207,14,36,191,33,33,45,22,0,0
),0,0,542,0,0,0,0,1189,11,17,0,1142,0,20,17,0,796,0,22,221,18,1016,1127,0,0,0,114,67,219,1144,230,839,,823,180,728,565,1003,74,65,1172,0,154,157,100,329,269,0,155,122,20,103,71,63,641,164,11,207,14,36,191,33,33,45,22,0,0
",",0,85,525,0,0,61,69,777,15,11,0,762,24,0,0,0,758,0,42,234,0,792,747,0,0,31,77,67,219,747,233,747,823,,180,693,531,809,57,45,747,0,131,166,80,329,252,0,155,105,20,103,71,63,641,146,11,207,14,36,177,33,21,45,22,0,0
x,0,45,180,0,0,101,61,180,11,29,18,245,0,24,0,0,180,0,0,289,21,265,180,0,0,0,77,67,180,180,180,180,180,180,,180,180,180,57,78,180,0,131,142,80,180,180,0,155,105,20,103,71,63,180,146,11,180,14,36,177,33,21,45,22,0,0
!,0,0,542,0,0,0,0,711,11,18,0,693,0,0,18,0,707,0,0,221,0,713,693,0,0,0,95,67,219,711,188,724,728,693,180,,571,751,75,45,751,0,131,142,96,342,270,0,155,123,20,103,71,63,641,146,11,207,14,36,191,33,33,45,22,0,0
(,0,20,525,31,22,0,0,550,0,0,0,551,0,20,0,20,551,64,0,233,15,571,557,0,0,40,77,67,219,531,188,531,565,531,180,571,,623,57,45,589,0,148,157,100,329,252,0,155,105,20,103,71,63,531,163,11,207,14,36,177,33,21,45,22,0,0
"""",0,15,556,0,0,0,35,897,11,117,0,860,0,15,45,15,796,11,20,221,13,893,860,0,15,74,122,86,264,890,233,867,1003,809,180,751,623,,102,45,962,0,155,157,101,329,275,0,155,131,20,103,71,63,641,164,11,207,14,36,224,33,33,45,22,42,0
^,0,0,74,0,0,0,0,76,11,155,0,57,0,0,311,0,71,0,0,57,0,57,57,0,0,0,209,57,57,172,57,126,74,57,57,75,57,102,,45,85,0,57,57,57,57,80,0,57,83,20,57,57,57,57,57,11,57,14,36,71,33,33,45,22,0,0
<,0,0,45,0,0,0,0,45,0,0,0,45,0,39,0,0,45,0,0,45,18,110,45,0,0,0,77,45,45,45,45,45,65,45,78,45,45,45,45,,45,0,45,45,84,45,45,0,45,45,20,45,45,45,45,45,11,45,14,36,45,33,21,45,22,0,0
?,0,0,556,0,0,0,0,1289,11,56,0,1270,0,0,28,0,796,0,0,221,0,974,1270,0,0,28,105,86,219,1181,188,837,1172,747,180,751,589,962,85,45,,0,131,142,101,329,275,0,155,131,20,103,71,63,641,146,11,207,14,36,219,33,33,45,22,0,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
{,0,0,131,0,0,0,0,131,0,0,0,131,0,0,0,0,131,0,0,131,0,131,131,0,0,0,77,67,131,131,131,131,154,131,131,131,148,155,57,45,131,0,,146,80,131,131,0,131,105,20,103,71,63,131,149,11,131,14,36,131,33,21,45,22,0,0
},0,0,142,0,0,0,0,142,0,0,0,142,0,0,0,0,142,0,0,142,0,142,142,0,0,0,77,67,142,142,142,142,157,166,142,142,157,157,57,45,142,0,146,,80,142,142,0,142,105,20,103,71,63,142,157,11,142,14,36,142,33,21,45,22,0,0
3,0,0,80,0,0,0,0,80,0,0,0,80,0,85,0,0,80,0,0,80,18,80,80,0,0,0,109,67,80,290,80,80,100,80,80,96,100,101,57,84,101,0,80,80,,80,416,0,458,80,146,80,71,441,542,80,11,80,140,246,80,33,21,45,274,0,0
+,0,0,329,0,0,0,0,329,0,0,0,329,0,0,0,0,329,0,0,221,0,329,329,0,0,0,77,67,219,344,188,356,329,329,180,342,329,329,57,45,329,0,131,142,80,,268,0,155,105,20,103,71,63,329,146,11,207,14,36,177,33,21,45,22,0,0
1,0,0,269,0,0,0,0,271,11,23,0,252,0,0,23,0,266,0,0,221,0,252,252,0,0,0,100,67,219,668,188,291,269,252,180,270,252,275,80,45,275,0,131,142,416,268,,0,640,149,74,103,71,299,516,169,11,207,98,162,191,33,33,45,148,21,0
z,0,0,0,0,0,11,0,0,0,0,0,0,0,77,41,12,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,155,0,0,0,0,155,0,0,0,155,0,0,0,0,155,0,0,155,0,155,155,0,0,0,77,67,155,491,155,155,155,155,155,155,155,155,57,45,155,0,131,142,458,155,640,0,,116,116,103,71,338,545,157,11,155,140,162,155,33,21,45,148,11,0
*,0,0,122,0,0,0,0,124,11,26,0,105,0,0,26,0,119,0,0,105,0,105,105,0,0,0,103,67,105,131,105,131,122,105,105,123,105,131,83,45,131,0,105,105,80,105,149,0,116,,230,103,71,116,147,126,11,105,98,120,119,33,33,45,232,42,0
9,0,0,20,0,11,0,0,20,0,0,0,20,0,0,0,0,20,0,0,20,0,20,20,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,146,20,74,0,116,230,,20,20,326,326,20,11,20,308,272,20,20,20,20,356,0,0
;,0,0,103,0,0,0,0,103,0,0,0,103,0,0,0,0,103,0,0,103,0,103,103,0,0,0,77,67,103,103,103,103,103,103,103,103,103,103,57,45,103,0,103,103,80,103,103,0,103,103,20,,71,63,103,103,11,103,14,36,103,33,21,45,22,0,0
&,0,0,71,0,0,0,0,71,0,0,0,71,0,0,0,0,71,0,0,71,0,71,71,0,0,0,71,67,71,71,71,71,71,71,71,71,71,71,57,45,71,0,71,71,71,71,71,0,71,71,20,71,,63,71,71,11,71,14,36,71,33,21,45,22,0,0
5,0,0,63,0,0,0,0,63,0,0,0,63,0,0,0,0,63,0,0,63,0,63,63,0,0,0,63,63,63,189,63,63,63,63,63,63,63,63,57,45,63,0,63,63,441,63,299,0,338,116,326,63,63,,537,74,11,63,350,456,63,33,21,45,442,11,0
4,0,0,525,0,0,0,0,641,0,0,0,641,0,0,0,0,641,0,0,221,0,641,641,0,0,0,77,67,219,809,188,641,641,641,180,641,531,641,57,45,641,0,131,142,542,329,516,0,545,147,326,103,71,537,,146,11,207,224,330,177,33,21,45,316,0,0
0,0,0,146,0,0,0,0,146,0,0,0,146,0,0,0,0,146,0,0,146,0,146,146,0,0,0,77,67,146,146,146,146,164,146,146,146,163,164,57,45,146,0,149,157,80,146,169,0,157,126,20,103,71,74,146,,11,146,14,36,146,33,21,45,22,72,0
@,25,0,52,0,0,0,0,36,0,0,25,36,0,0,0,0,11,0,0,11,0,11,11,25,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,0,11,11,11,11,11,11,11,11,,11,11,11,11,11,11,11,11,0,0
>,0,0,207,0,0,0,0,207,0,0,0,207,0,0,0,0,207,0,0,207,0,207,207,0,0,0,77,67,207,207,188,207,207,207,180,207,207,207,57,45,207,0,131,142,80,207,207,0,155,105,20,103,71,63,207,146,11,,14,36,177,33,21,45,22,0,0
8,0,0,14,0,0,0,0,14,0,0,0,14,0,0,0,0,14,0,0,14,0,14,14,0,0,0,14,14,14,35,14,14,14,14,14,14,14,14,14,14,14,0,14,14,140,14,98,0,140,98,308,14,14,350,224,14,11,14,,266,14,14,14,14,308,102,0
6,0,0,36,0,0,0,0,36,0,0,0,36,0,0,0,0,36,0,0,36,0,36,36,0,0,0,36,36,36,120,36,36,36,36,36,36,36,36,36,36,36,0,36,36,246,36,162,0,162,120,272,36,36,456,330,36,11,36,266,,36,33,21,36,400,0,0
`,0,0,205,0,0,0,0,191,11,47,0,177,0,0,14,0,191,0,0,177,0,177,177,0,0,33,91,86,177,191,177,191,191,177,177,191,177,224,71,45,219,0,131,142,80,177,191,0,155,119,20,103,71,63,177,146,11,177,14,36,,33,33,45,22,0,0
%,0,0,33,0,0,0,0,33,0,0,0,33,0,0,0,0,33,0,0,33,0,33,33,0,0,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,0,33,33,33,33,33,0,33,33,20,33,33,33,33,33,11,33,14,33,33,,21,33,22,0,0
~,0,0,33,0,0,0,0,33,11,12,0,21,0,0,12,0,33,0,0,21,0,21,21,0,0,0,33,21,21,33,21,33,33,21,21,33,21,33,33,21,33,0,21,21,21,21,33,0,21,33,20,21,21,21,21,21,11,21,14,21,33,21,,21,21,0,0
$,0,0,45,0,0,0,0,45,0,0,0,45,0,0,0,0,45,0,0,45,0,45,45,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,45,45,45,45,45,0,45,45,20,45,45,45,45,45,11,45,14,36,45,33,21,,22,0,0
7,0,0,22,0,0,0,0,22,0,0,0,22,0,0,0,0,22,0,0,22,0,22,22,0,42,0,22,22,22,85,22,22,22,22,22,22,22,22,22,22,22,0,22,22,274,22,148,0,148,232,356,22,22,442,316,22,11,22,308,400,22,22,21,22,,0,0
"=""'""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,21,0,11,42,0,0,0,11,0,72,0,0,102,0,0,0,0,0,0,,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
